Job_ID,Job_Title,Company,City,State,Country,Work_Mode,Experience_Level,Experience_Years,Salary_LPA,Open_Positions,Skills,Industry,Annual_Salary_INR,Applications,Education,Employment_Type,Posting_Date,Company_Rating,Job_Status
1,ML Engineer,Infosys,Hyderabad,Tamil Nadu,India,Hybrid,Senior,6,28,10,"Python,SQL",Retail,359448,457,Master,Contract,2026-02-04,88,Open
2,BI Developer,Wipro,Delhi,Karnataka,India,Remote,Mid,0,3,4,"Azure,Python",Education,319304,480,Master,Internship,2026-06-28,63,Closed
3,ML Engineer,Accenture,Pune,Maharashtra,India,Remote,Mid,3,24,11,"Python,Pandas",Healthcare,345067,213,Bachelor,Full-time,2026-01-08,90,Closed
4,Software Engineer,Capgemini,Delhi,Delhi,India,Onsite,Associate,4,12,19,"Tableau,SQL",Retail,1535227,436,Bachelor,Contract,2026-01-31,65,Closed
5,Software Engineer,TCS,Hyderabad,Delhi,India,Onsite,Mid,1,17,20,"Python,SQL",Finance,1392487,430,Master,Contract,2026-04-17,81,Open
6,Data Analyst,Wipro,Delhi,Delhi,India,Onsite,Senior,2,8,20,"Power BI,SQL",IT Services,718416,276,Bachelor,Contract,2026-05-01,82,Closed
7,Data Scientist,Google,Hyderabad,Delhi,India,Onsite,Entry,6,28,20,"Power BI,SQL",Education,1477252,105,Master,Full-time,2026-05-28,80,Closed
8,ML Engineer,Accenture,Mumbai,Maharashtra,India,Hybrid,Senior,5,3,14,"Python,Pandas",Education,358667,411,Bachelor,Internship,2026-05-26,61,Open
9,ML Engineer,Wipro,Chennai,Tamil Nadu,India,Remote,Senior,0,27,12,"Power BI,SQL",Healthcare,529614,408,Bachelor,Contract,2026-01-24,68,Open
10,Business Analyst,Wipro,Mumbai,Karnataka,India,Hybrid,Mid,7,25,14,"Python,Pandas",Retail,539475,12,Master,Contract,2026-02-12,71,Closed
11,Data Scientist,Infosys,Hyderabad,Delhi,India,Onsite,Senior,0,10,4,"Python,Pandas",Finance,374084,368,Bachelor,Contract,2026-02-18,95,Closed
12,Business Analyst,Microsoft,Pune,Karnataka,India,Onsite,Entry,6,24,14,"Azure,Python",Retail,423281,377,Master,Full-time,2026-05-20,63,Open
13,Data Analyst,Infosys,Hyderabad,Telangana,India,Remote,Senior,4,7,4,"Tableau,SQL",IT Services,1538544,419,Bachelor,Internship,2026-03-20,79,Open
14,ML Engineer,Microsoft,Chennai,Maharashtra,India,Hybrid,Entry,3,21,17,"Tableau,SQL",Finance,1332534,53,Master,Contract,2026-06-30,82,Closed
15,Data Scientist,Amazon,Pune,Telangana,India,Remote,Associate,5,28,8,"Excel,SQL",Retail,746755,136,Bachelor,Contract,2026-01-05,85,Closed
16,ML Engineer,Google,Mumbai,Karnataka,India,Onsite,Entry,1,7,9,"Power BI,SQL",Education,746626,137,Master,Internship,2026-06-25,82,Closed
17,Data Scientist,Capgemini,Chennai,Telangana,India,Onsite,Senior,2,21,7,"Excel,SQL",IT Services,1152699,37,Master,Full-time,2026-04-05,58,Closed
18,ML Engineer,Amazon,Pune,Tamil Nadu,India,Onsite,Associate,1,11,15,"Excel,SQL",Education,1420496,473,Bachelor,Contract,2026-01-30,67,Open
19,Data Scientist,TechNova,Mumbai,Tamil Nadu,India,Hybrid,Entry,0,9,11,"Tableau,SQL",Retail,639780,59,Master,Full-time,2026-01-12,93,Open
20,Software Engineer,Infosys,Pune,Maharashtra,India,Hybrid,Mid,7,13,7,"Power BI,SQL",Healthcare,383089,13,Bachelor,Contract,2026-02-10,96,Closed
21,BI Developer,Capgemini,Pune,Tamil Nadu,India,Hybrid,Senior,1,11,10,"Tableau,SQL",Education,1743238,240,Master,Contract,2026-04-26,61,Open
22,Business Analyst,Accenture,Hyderabad,Tamil Nadu,India,Remote,Senior,1,23,14,"Power BI,SQL",Retail,943373,21,Master,Full-time,2026-03-20,70,Closed
23,Data Scientist,Infosys,Mumbai,Delhi,India,Onsite,Entry,3,10,4,"Power BI,SQL",Retail,451681,137,Bachelor,Internship,2026-03-04,54,Open
24,Data Analyst,Wipro,Hyderabad,Maharashtra,India,Remote,Entry,8,27,14,"Python,SQL",Education,1695125,88,Bachelor,Full-time,2026-06-12,59,Closed
25,Data Analyst,Microsoft,Mumbai,Telangana,India,Remote,Associate,8,26,5,"Excel,SQL",Education,1709702,464,Bachelor,Full-time,2026-03-20,69,Closed
26,Business Analyst,TechNova,Delhi,Karnataka,India,Remote,Senior,6,20,12,"Tableau,SQL",Retail,1428393,232,Bachelor,Contract,2026-05-18,71,Open
27,BI Developer,TechNova,Delhi,Maharashtra,India,Remote,Entry,5,21,8,"Tableau,SQL",Finance,590446,132,Master,Contract,2026-03-08,86,Closed
28,ML Engineer,Infosys,Bengaluru,Maharashtra,India,Remote,Mid,8,23,18,"Azure,Python",Finance,799907,160,Master,Internship,2026-02-14,80,Open
29,Data Scientist,Microsoft,Mumbai,Telangana,India,Remote,Entry,1,27,20,"Azure,Python",Healthcare,634428,261,Bachelor,Contract,2026-04-16,69,Closed
30,Data Scientist,TCS,Delhi,Maharashtra,India,Remote,Entry,8,21,16,"Power BI,SQL",Finance,825536,218,Bachelor,Internship,2026-05-22,96,Open
31,Software Engineer,Zoho,Delhi,Telangana,India,Onsite,Associate,8,26,5,"Tableau,SQL",IT Services,835159,321,Bachelor,Contract,2026-05-07,97,Open
32,ML Engineer,Infosys,Pune,Karnataka,India,Hybrid,Senior,2,13,18,"Power BI,SQL",Education,1323339,491,Bachelor,Full-time,2026-02-05,77,Closed
33,Software Engineer,Wipro,Hyderabad,Karnataka,India,Onsite,Entry,3,19,18,"Tableau,SQL",IT Services,364609,321,Bachelor,Contract,2026-01-31,63,Open
34,Business Analyst,Microsoft,Bengaluru,Telangana,India,Onsite,Mid,7,28,9,"Tableau,SQL",Healthcare,1329301,215,Bachelor,Full-time,2026-03-14,86,Closed
35,Data Scientist,Infosys,Chennai,Tamil Nadu,India,Onsite,Entry,8,12,8,"Python,SQL",Education,1083762,293,Master,Contract,2026-02-22,82,Closed
36,Data Scientist,TechNova,Chennai,Maharashtra,India,Hybrid,Mid,4,20,16,"Excel,SQL",Education,1332426,57,Master,Contract,2026-05-16,63,Open
37,Software Engineer,Amazon,Delhi,Delhi,India,Hybrid,Senior,4,25,9,"Python,Pandas",Education,1702660,271,Bachelor,Contract,2026-03-13,83,Open
38,BI Developer,Amazon,Pune,Maharashtra,India,Onsite,Entry,7,26,11,"Azure,Python",Healthcare,1620524,10,Master,Internship,2026-06-23,90,Open
39,BI Developer,Wipro,Bengaluru,Tamil Nadu,India,Remote,Mid,4,28,17,"Azure,Python",Education,936839,77,Master,Contract,2026-06-12,81,Open
40,ML Engineer,TechNova,Hyderabad,Delhi,India,Onsite,Senior,1,14,6,"Azure,Python",Retail,341400,84,Bachelor,Internship,2026-04-30,55,Closed
41,Software Engineer,Wipro,Mumbai,Telangana,India,Onsite,Associate,3,13,12,"Python,SQL",IT Services,1766318,425,Master,Contract,2026-06-12,82,Open
42,Data Scientist,Microsoft,Hyderabad,Telangana,India,Onsite,Associate,6,20,16,"Power BI,SQL",Retail,844256,443,Master,Internship,2026-02-13,64,Closed
43,Software Engineer,Accenture,Delhi,Tamil Nadu,India,Hybrid,Mid,6,27,11,"Excel,SQL",Finance,452126,320,Bachelor,Internship,2026-06-06,78,Open
44,Data Scientist,Google,Mumbai,Karnataka,India,Remote,Senior,5,12,16,"Power BI,SQL",IT Services,732410,367,Master,Full-time,2026-06-05,56,Open
45,Data Scientist,Google,Chennai,Karnataka,India,Remote,Entry,3,24,5,"Python,Pandas",Education,1585929,226,Master,Internship,2026-04-12,67,Open
46,Software Engineer,TCS,Chennai,Karnataka,India,Remote,Senior,7,15,9,"Power BI,SQL",Finance,894839,236,Master,Full-time,2026-06-06,78,Closed
47,BI Developer,Amazon,Chennai,Karnataka,India,Remote,Entry,0,30,19,"Excel,SQL",Retail,1516880,147,Bachelor,Contract,2026-03-26,60,Open
48,Data Analyst,Zoho,Bengaluru,Delhi,India,Onsite,Senior,4,7,6,"Python,Pandas",Healthcare,330286,18,Bachelor,Internship,2026-01-08,58,Open
49,Data Analyst,Zoho,Chennai,Karnataka,India,Hybrid,Associate,4,24,10,"Azure,Python",Retail,1117264,168,Master,Contract,2026-03-12,91,Open
50,Data Analyst,Amazon,Mumbai,Karnataka,India,Hybrid,Entry,5,20,17,"Tableau,SQL",Finance,1792434,450,Master,Internship,2026-03-04,54,Closed
51,Software Engineer,Infosys,Hyderabad,Karnataka,India,Remote,Entry,3,30,17,"Python,SQL",IT Services,1636143,46,Master,Internship,2026-06-06,73,Open
52,Data Analyst,TCS,Mumbai,Tamil Nadu,India,Onsite,Associate,6,27,18,"Python,SQL",Education,866208,46,Master,Contract,2026-03-22,55,Closed
53,BI Developer,TechNova,Delhi,Telangana,India,Onsite,Associate,4,28,16,"Python,SQL",Healthcare,497254,217,Bachelor,Internship,2026-01-09,85,Open
54,Data Scientist,Microsoft,Pune,Delhi,India,Remote,Associate,7,19,20,"Tableau,SQL",IT Services,910954,380,Bachelor,Full-time,2026-03-26,73,Closed
55,Data Scientist,Infosys,Pune,Telangana,India,Onsite,Entry,0,12,14,"Python,Pandas",Healthcare,968570,180,Master,Contract,2026-05-14,97,Open
56,Data Analyst,TCS,Hyderabad,Telangana,India,Onsite,Entry,7,11,19,"Python,Pandas",Healthcare,1098024,417,Bachelor,Internship,2026-05-15,53,Open
57,ML Engineer,Google,Mumbai,Telangana,India,Onsite,Mid,5,28,15,"Python,Pandas",Healthcare,1274277,306,Master,Internship,2026-01-13,82,Open
58,Business Analyst,Wipro,Delhi,Karnataka,India,Remote,Entry,2,27,17,"Azure,Python",Education,405077,415,Bachelor,Internship,2026-01-08,93,Closed
59,Business Analyst,Wipro,Chennai,Delhi,India,Onsite,Entry,1,28,10,"Azure,Python",Finance,1372643,441,Master,Full-time,2026-01-28,87,Closed
60,Software Engineer,Wipro,Bengaluru,Karnataka,India,Hybrid,Associate,6,17,15,"Tableau,SQL",Finance,1311159,371,Bachelor,Contract,2026-05-05,76,Open
61,Software Engineer,Microsoft,Pune,Delhi,India,Remote,Senior,8,28,17,"Python,SQL",Healthcare,1261447,3,Bachelor,Contract,2026-01-03,94,Open
62,Data Analyst,Wipro,Mumbai,Telangana,India,Onsite,Mid,8,16,20,"Python,Pandas",Education,1621132,297,Master,Contract,2026-05-19,69,Open
63,BI Developer,Amazon,Bengaluru,Delhi,India,Hybrid,Entry,6,26,5,"Excel,SQL",Retail,1143346,144,Bachelor,Full-time,2026-05-10,55,Open
64,Data Scientist,Google,Hyderabad,Telangana,India,Onsite,Senior,5,15,18,"Python,SQL",Retail,1043433,74,Master,Full-time,2026-04-09,51,Open
65,Data Scientist,TCS,Mumbai,Telangana,India,Hybrid,Mid,6,25,12,"Python,Pandas",Healthcare,1318784,110,Master,Contract,2026-03-08,95,Closed
66,Data Analyst,TCS,Bengaluru,Karnataka,India,Onsite,Entry,1,11,8,"Python,Pandas",IT Services,1137036,332,Bachelor,Full-time,2026-01-24,55,Closed
67,Data Analyst,Microsoft,Bengaluru,Delhi,India,Hybrid,Entry,1,26,17,"Azure,Python",IT Services,856446,350,Master,Full-time,2026-06-06,80,Open
68,Software Engineer,Infosys,Pune,Tamil Nadu,India,Hybrid,Mid,8,18,16,"Python,SQL",Education,1304935,54,Bachelor,Contract,2026-02-24,89,Open
69,ML Engineer,Wipro,Pune,Delhi,India,Hybrid,Associate,5,30,19,"Python,SQL",IT Services,1678421,177,Master,Full-time,2026-02-12,84,Closed
70,Data Analyst,Accenture,Mumbai,Telangana,India,Onsite,Associate,6,7,8,"Excel,SQL",Finance,1155046,287,Bachelor,Internship,2026-03-18,88,Open
71,Data Scientist,Wipro,Pune,Telangana,India,Hybrid,Associate,7,14,19,"Power BI,SQL",Healthcare,669431,310,Bachelor,Internship,2026-04-16,87,Closed
72,Business Analyst,TechNova,Mumbai,Telangana,India,Onsite,Associate,3,13,19,"Python,Pandas",Healthcare,548317,65,Bachelor,Internship,2026-05-17,66,Open
73,Software Engineer,Microsoft,Delhi,Tamil Nadu,India,Remote,Entry,3,21,10,"Tableau,SQL",Education,1683920,452,Master,Contract,2026-01-23,70,Open
74,Data Scientist,Amazon,Bengaluru,Tamil Nadu,India,Remote,Mid,5,11,20,"Python,Pandas",IT Services,555131,168,Master,Full-time,2026-01-06,57,Closed
75,Software Engineer,Amazon,Chennai,Telangana,India,Remote,Entry,4,13,11,"Excel,SQL",Education,404367,185,Bachelor,Full-time,2026-02-06,58,Closed
76,Software Engineer,Accenture,Chennai,Telangana,India,Remote,Mid,1,14,8,"Tableau,SQL",Healthcare,1149688,46,Master,Internship,2026-04-06,76,Closed
77,Business Analyst,Wipro,Mumbai,Karnataka,India,Onsite,Entry,2,10,10,"Python,Pandas",Healthcare,1444954,10,Master,Internship,2026-03-19,67,Closed
